Nama Warna;Kode Warna;Mood;Tema;Suasana;Kontras;Popularitas;Gaya Desain
Merah;#FF0000;Enerjik;Modern;Cerah;Tinggi;Populer;Minimalis
Biru;#0000FF;Tenang;Vintage;Dingin;Rendah;Sedang;Klasik
Hijau;#008000;Segar;Alam;Sejuk;Sedang;Populer;Bohemian
Kuning;#FFFF00;Ceria;Kontemporer;Hangat;Tinggi;Sedang;Modern
Hitam;#000000;Serius;Elegan;Gelap;Tinggi;Populer;Modern
Putih;#FFFFFF;Bersih;Minimalis;Tenang;Rendah;Sedang;Minimalis
Abu-abu;#808080;Netral;Vintage;Dingin;Sedang;Sedang;Klasik
Coklat;#A52A2A;Hangat;Alam;Sejuk;Sedang;Sedang;Tradisional
Ungu;#800080;Kreatif;Glamour;Malam;Tinggi;Populer;Kontemporer
Merah Muda;#FFC0CB;Ceria;Retro;Hangat;Sedang;Sedang;Bohemian
Biru Muda;#ADD8E6;Tenang;Minimalis;Sejuk;Sedang;Sedang;Modern
Oranye;#FFA500;Enerjik;Ceria;Hangat;Sedang;Sedang;Kontemporer
Biru Laut;#20B2AA;Tenang;Modern;Dingin;Sedang;Populer;Minimalis
Coklat Muda;#D2B48C;Hangat;Alam;Sejuk;Rendah;Sedang;Tradisional
Merah Marun;#800000;Berani;Ceria;Hangat;Sedang;Populer;Bohemian
Kuning Emas;#FFD700;Mewah;Glamour;Cerah;Tinggi;Populer;Kontemporer
Biru Tua;#00008B;Tenang;Vintage;Dingin;Rendah;Sedang;Klasik
Hitam Klasik;#222222;Serius;Elegan;Gelap;Tinggi;Populer;Modern
